Id,Designator,Quantity,Designation,,Package,MFC/PN,DigiKey Link,Supplier and ref
33,R3,1,1M,,R_0402_1005Metric,ERJ-2RKF1004X ,https://www.digikey.com/product-detail/en/ERJ-2RKF1004X/P1.00MLCT-ND/79804?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
34,"R2,R1",2,R120,,R_0402_1005Metric,ERJ-2GEJ121X ,https://www.digikey.com/product-detail/en/ERJ-2GEJ121X/P120JCT-ND/146744?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
35,Y1,1,16MHz,,HC49UP,DNI,DNI,
36,Y5,1,6MHz,,HC49UP,DNI,DNI,
37,"L7,L4,L2,L6,L3,L5",6,L_Core_Ferrite,,603,LQM18FN100M00D ,https://www.digikey.com/product-detail/en/LQM18FN100M00D/490-4025-1-ND/1016285?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
38,"Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10",10,1N5231BTR,,DO-35,DNI,DNI,
39,"U14,U15,U18",3,FT4232HL-REEL,,LQFP-64_10x10mm,FT4232HL-REEL,https://www.digikey.com/product-detail/en/FT4232HL-REEL/768-1026-1-ND/1986059?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
40,J12,1,15912120,,PinHeader_2x6_P2.54mm_Vertical_SMD,DNI,DNI,
41,"RLY4,RLY5,RLY6,RLY3,RLY1,RLY7,RLY8,RLY9,RLY10,RLY2",10,G5LE-14_DC5,,Relay_THT_G5LE-14,DNI,DNI,
42,"U16,U2,U1",3,DG408LE,,SOIC-16_W3.90mm,DG408LEDY-T1-GE3,https://www.digikey.com/product-detail/en/vishay-siliconix/DG408LEDY-T1-GE3/DG408LEDY-T1-GE3CT-ND/5994114,
43,"Q2,Q1",2,ULN2003ADR,,SOIC-16_W3.90mm,ULN2003ADR,https://www.digikey.com/product-detail/en/ULN2003ADR/296-1368-1-ND/404968?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
44,U6,1,LM2776,,SOT-23-6,LM2776DBVT,https://www.digikey.com/product-detail/en/LM2776DBVT/296-42300-1-ND/5355420?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
45,"Q24,Q4,Q3,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q6,Q22,Q21,Q20,Q19,Q18,Q15,Q16,Q17,Q5,Q28,Q27,Q26,Q25,Q23,Q29,Q30,Q7,Q38,Q37,Q36,Q35",32,2N7002DW,,SOT-363,2N7002DW,https://www.digikey.com/product-detail/en/on-semiconductor/2N7002DW/2N7002DWCT-ND/1785790,
46,U19,1,CD74HC4067SM96,,SSOP-24_W5.30mm,CD74HC4067SM96,https://www.digikey.com/product-detail/en/texas-instruments/CD74HC4067SM96/296-9226-2-ND/390310,
47,S1,1,1825910-6,,Switch_Tactile_THT_6x6mm,DNI,DNI,
48,"S3,S2",2,ATE1D-2M3-10-Z,,Switch_Toggle_ATE1D-2M3-10-Z,DNI,DNI,
49,U17,1,DS18B20_,,TO-92-3,DNI,DNI,
50,"U8,U10,U9,U7,U11,U12,U13",7,MAX14752,,TSSOP-16-1EP_W4.40mm,DNI,DNI,
51,J16,1,12401610E4_2A,,USB_Type_C_Female__12401610E4_2A,DNI,DNI,
